month,NET FOREIGN ASSETS,CLAIMS ON NONRESIDENTS,LIABILITIES TO NONRESIDENTS,DOMESTIC CLAIMS,NET CLAIMS ON CENTRAL GOVERNMENT,CLAIMS ON CENTRAL GOVERNMENT,LIABILITIES TO CENTRAL GOVERNMENT,CLAIMS ON OTHER SECTORS,CLAIMS ON OTHER FINANCIAL CORPORATIONS,CLAIMS ON STATE AND LOCAL GOVERNMENT,CLAIMS ON PUBLIC NONFINANCIAL CORPORATIONS,CLAIMS ON PRIVATE SECTOR,BROAD MONEY LIABILITIES,CURRENCY OUTSIDE DEPOSITORY CORPORATIONS,TRANSFERABLE DEPOSITS,OTHER DEPOSITS,SECURITIES OTHER THAN SHARES,DEPOSITS EXCLUDED FROM BROAD MONEY,SECURITIES OTHER THAN SHARES EXCLUDED FROM BROAD MONEY,LOANS,FINANCIAL DERIVATIVES,INSURANCE TECHNICAL RESERVES,SHARES AND OTHER EQUITY, OTHER ITEMS (NET) 
Jan-11,"8,310.00","15,537.90","-7,227.89","14,439.88","4,774.77","9,154.26","-4,379.50","9,665.11",64.55,7.10,124.99,"9,468.48","18,976.21","1,952.53","11,284.15","5,739.54",0.00,46.73,0.00,564.54,0.00,0.00,"2,979.51",182.89
Feb-11,"6,708.75","14,058.72","-7,349.96","15,127.75","5,417.09","9,450.68","-4,033.59","9,710.67",35.07,7.49,125.46,"9,542.64","18,056.43","1,896.30","10,013.79","6,146.35",0.00,46.73,0.00,544.21,0.00,0.00,"2,906.35",282.79
Mar-11,"6,281.73","14,003.74","-7,722.00","15,126.34","5,142.02","9,915.09","-4,773.07","9,984.32",74.89,7.36,129.00,"9,773.08","17,403.70","1,871.15","9,648.38","5,884.18",0.00,46.73,0.00,538.74,0.00,0.00,"2,944.04",474.86
Apr-11,"7,580.77","15,007.92","-7,427.16","14,498.13","4,419.89","10,329.76","-5,909.87","10,078.24",52.05,7.74,145.77,"9,872.67","17,932.01","1,948.72","10,068.87","5,914.42",0.00,46.73,0.00,547.94,0.00,0.00,"3,165.93",386.29
May-11,"7,514.51","15,114.17","-7,599.66","15,216.54","4,792.13","10,136.32","-5,344.19","10,424.41",57.65,8.27,151.38,"10,207.11","18,878.05","2,076.16","10,813.32","5,988.57",0.00,46.73,0.00,550.87,0.00,0.00,"3,121.27",134.13
Jun-11,"8,506.99","16,673.95","-8,166.95","14,670.20","4,044.13","10,927.25","-6,883.12","10,626.06",52.79,6.70,120.89,"10,445.68","20,360.02","2,375.18","11,173.99","6,810.86",0.00,46.73,0.00,633.58,0.00,0.00,"2,241.09",-104.24
Jul-11,"8,994.88","16,638.31","-7,643.43","14,621.39","3,933.07","10,890.63","-6,957.56","10,688.32",47.73,6.35,102.99,"10,531.24","20,647.41","2,438.45","11,343.65","6,865.31",0.00,46.73,0.00,654.38,0.00,0.00,"2,169.07",98.67
Aug-11,"10,131.42","18,323.67","-8,192.25","15,794.14","4,808.34","11,286.65","-6,478.32","10,985.81",67.81,9.50,108.15,"10,800.35","21,526.47","2,543.63","11,924.71","7,058.12",0.00,46.73,0.00,648.46,0.00,0.00,"3,773.62",-69.71
Sep-11,"9,756.58","17,397.76","-7,641.18","15,475.77","4,448.20","11,714.37","-7,266.16","11,027.57",69.13,7.16,285.81,"10,665.48","21,226.04","2,923.78","11,092.27","7,209.98",0.00,46.73,0.00,636.63,0.00,0.00,"3,114.72",208.24
Oct-11,"10,153.43","17,894.21","-7,740.78","17,796.74","6,288.14","14,719.10","-8,430.96","11,508.60",81.24,6.71,285.59,"11,135.06","21,515.61","2,839.71","11,441.79","7,234.11",0.00,46.73,0.00,654.55,0.00,0.00,"3,657.25","2,076.02"
