month,Currency with non Bank ,Kwacha Demand Deposits,Narrow    Money (M1),Time and savings deposit,Forex Demand Deposits,  Broad Money (M2),Other  Forex  Deposits,Broad Money (M3)
Jan-03," 410,876.00 "," 832,018.00 ",1242929,867897,1479772,3590598,92380,3682978
Feb-03," 406,217.00 "," 832,582.00 ",1238907,873358,1481086,3593351,94921,3688272
Mar-03," 412,249.00 "," 829,468.00 ",1241863,887398,1439600,3568861,92214,3661075
Apr-03," 433,505.19 "," 903,678.75 ",1337273.941,857271.4697,1406097.2,3600642.611,87516.4,3688159.011
May-03," 480,518.20 "," 878,198.69 ",1358772.889,904014.4524,1416963.9,3679751.241,84724.7,3764475.941
Jun-03," 481,404.56 "," 934,544.50 ",1416031.064,903536.0436,1477240.7,3796807.807,87200.1,3884007.907
Jul-03," 513,605.70 "," 877,325.00 ",1391012.703,911078,1428218.5,3730309.203,108925,3839234.203
Aug-03," 530,306.00 "," 928,140.00 ",1458497,954229,1408734,3821460,83450,3904910
Sep-03," 528,643.00 "," 911,180.00 ",1439856,1007550,1524157,3971563,81291,4052854
Oct-03," 539,263.00 "," 991,088.00 ",1530412,986002,1448590,3965004,94287,4059291
Nov-03," 550,386.00 "," 982,500.00 ",1532956,1032859,1428850,3994665,102298,4096963
Dec-03," 592,451.00 "," 1,103,099.00 ",1695572,1153237,1491550,4340359,79473,4419832
Jan-04," 558,801.00 "," 1,124,002.00 ",1682911,1154169.926,1593564.7,4430645.626,85233,4515878.626
Feb-04," 557,383.00 "," 1,109,943.00 ",1667434,1155362.954,1601517.9,4424314.854,96422,4520736.854
Mar-04," 564,016.00 "," 1,131,125.00 ",1695195,1143398.658,1633534.1,4472127.758,145837,4617964.758
Apr-04," 607,054.00 "," 1,255,130.00 ",1862260,1150780.974,1646978.9,4660019.874,173091,4833110.874
May-04," 629,397.00 "," 1,268,153.00 ",1897654,1163480.818,1651260.5,4712395.318,218191,4930586.318
Jun-04," 701,501.00 "," 1,296,193.00 ",1997849,1213219.432,1831210,5042278.432,204139,5246417.432
Jul-04," 785,430.00 "," 1,309,161.00 ",2094717,1185960.77,1808484.1,5089161.87,266570,5355731.87
Aug-04," 769,033.00 "," 1,302,336.00 ",2071511,1192427.048,1858846,5122784.048,276451,5399235.048
Sep-04," 734,396.00 "," 1,274,950.00 ",2009555,1246001.239,1840065.3,5095621.539,282256,5377877.539
Oct-04," 733,238.00 "," 1,294,260.00 ",2027653.45,1309156.921,1754531,5091341.371,307158,5398499.371
Nov-04," 705,466.00 "," 1,303,039.00 ",2008575,1280365.362,1887954.5,5176894.862,292303,5469197.862
Dec-04," 729,579.00 "," 1,311,818.00 ",2041472.45,1335858.731,2084041,5461372.181,337461,5798833.181
Jan-05," 693,913.33 "," 1,306,997.47 ",2001041.799,1319894.972,1983449,5304385.771,328358,5632743.771
Feb-05," 666,498.00 "," 1,351,932.00 ",2018483,1294311,1877510,5190304,341017,5531321
Mar-05," 666,224.66 "," 1,295,121.79 ",1961375.447,1352894.488,1821850,5136119.935,332423,5468542.935
Apr-05," 720,155.36 "," 1,364,737.73 ",2084966.09,1311315.027,1778149,5174430.117,349556.7137,5523986.831
May-05," 735,587.33 "," 1,382,785.85 ",2118507.172,1362224.605,1887560,5368291.777,313676,5681967.777
Jun-05," 812,519.51 "," 1,409,920.12 ",2222567.63,1453816.538,1889168,5565552.168,307420,5872972.168
Jul-05," 876,029.47 "," 1,463,864.90 ",2340190.371,1514027.517,1881568,5735785.887,268558,6004343.887
Aug-05," 844,020.17 "," 1,453,461.34 ",2297595.508,1542217.124,1726988,5566800.632,326829,5893629.632
Sep-05," 838,307.83 "," 1,460,579.01 ",2298971.842,1545529.806,1799518,5644019.648,394981.8042,6039001.452
Oct-05," 804,066.01 "," 1,392,742.37 ",2196895.379,1487913.995,1873489,5558298.374,376301.1197,5934599.493
Nov-05," 767,010.00 "," 1,452,997.56 ",2220095.567,1486356.642,1604670,5311122.209,326082,5637204.209
Dec-05," 823,120.00 "," 1,456,988.00 ",2280283,1579650,1667550,5527483,283197,5810680
Jan-06," 739,409.00 "," 1,649,963.84 ",2389486.839,1602480,1578539,5570505.839,302143,5872648.839
Feb-06," 731,451.00 "," 1,617,503.25 ",2349081.248,1675317.948,1490450,5514849.195,275709,5790558.195
Mar-06," 742,700.24 "," 1,482,501.39 ",2225483.628,1726264.804,1510594.887,5462343.318,316962,5779305.318
Apr-06," 758,941.00 "," 1,491,548.17 ",2250601.169,1777771.236,1350571.438,5378943.843,282258.6283,5661202.471
May-06," 787,574.12 "," 1,528,297.05 ",2315974.177,1816807.523,1560956,5693737.7,297419,5991156.7
Jun-06," 864,493.24 "," 1,577,641.80 ",2442344.043,1839092.952,1609745,5891181.995,368360,6259541.995
Jul-06," 923,143.16 "," 1,687,566.87 ",2610855.032,1886729.943,1750185,6247769.975,410926,6658695.975
Aug-06," 970,141.96 "," 1,906,169.30 ",2876412.263,1921355.133,1863123.5,6660890.896,441009,7101899.896
Sep-06," 1,075,338.15 "," 2,047,851.22 ",3123550.377,2008880.022,2222566,7354996.4,317034,7672030.4
Oct-06," 1,010,646.27 "," 1,953,356.00 ",2964595.267,1884585.323,2115866,6965046.591,200755,7165801.591
Nov-06," 1,011,826.43 "," 2,074,928.00 ",3086852.426,2180091.731,2247264.5,7514208.657,232556,7746764.657
Dec-06," 1,071,150.65 "," 2,392,588.50 ",3464170.146,2299108.099,2453207,8216485.244,210387,8426872.244
Jan-07," 1,013,003.15 "," 2,069,552.72 ",3082757.871,2213649.562,2274504,7570911.434,353055.0669,7923966.501
Feb-07," 969,942.67 "," 2,071,462.61 ",3041533.286,2095300.966,2282419.5,7419253.752,392803.1877,7812056.94
