month, SWITZ K/CHF,UK K/GBP,RSA  K/RAND,EU K/EU,CHINA K/YUAN,USA K/USD,Zambia CPI 1994,Zambia CPI REBASED 2005,SWITZ CPI 2005,UK CPI 1996,RSA CPI 1990,EU CPI 2001,CHINA CPI 2000,USA CPI 1990,Foreign  CPI ,Foreign CPI Rebased Dec 2005,Nominal Effective Rate,Relative Price,Real Effective Rate, Real Effective Rate Index (2005=100)
Jan-03,3.20,7.12,0.51,4.68,0.53,4.41,816.90,64.16,97.20,108.60,286.92,127.01,100.40,138.00,160.54,95.54,1.40,1.49,2.08,159.78
Feb-03,3.43,7.54,0.56,5.03,0.56,4.67,830.90,65.26,97.30,109.00,287.44,127.90,100.90,139.10,160.94,95.77,1.52,1.47,2.23,170.94
Mar-03,3.58,7.72,0.61,5.26,0.59,4.88,837.20,65.76,97.69,109.40,289.41,128.10,100.92,139.94,161.70,96.22,1.61,1.46,2.36,181.10
Apr-03,3.53,7.66,0.63,5.27,0.59,4.87,839.00,65.90,97.88,109.70,290.39,127.93,101.00,139.60,162.05,96.43,1.62,1.46,2.38,182.31
May-03,3.68,7.82,0.64,5.57,0.58,4.82,846.80,66.51,97.73,109.70,289.34,127.99,100.70,139.37,161.68,96.21,1.66,1.45,2.41,184.41
Jun-03,3.68,8.05,0.61,5.66,0.59,4.85,844.80,66.35,97.73,109.60,289.90,112.90,100.30,139.55,159.88,95.15,1.64,1.43,2.35,180.36
Jul-03,3.52,7.78,0.63,5.44,0.58,4.78,843.90,66.28,96.95,109.50,290.14,112.80,100.50,139.75,159.53,94.94,1.63,1.43,2.33,179.02
Aug-03,3.40,7.49,0.63,5.24,0.57,4.69,856.10,67.24,97.17,109.90,291.12,113.10,100.90,140.33,160.02,95.23,1.60,1.42,2.27,173.88
Sep-03,3.43,7.62,0.65,5.40,0.57,4.74,874.90,68.72,97.31,110.20,290.15,113.50,101.10,140.76,159.98,95.20,1.63,1.39,2.25,172.87
Oct-03,3.59,7.96,0.68,5.56,0.57,4.75,891.00,69.98,97.81,110.40,288.34,113.60,101.80,140.65,159.93,95.17,1.70,1.36,2.31,177.30
Nov-03,3.56,8.02,0.70,5.55,0.57,4.75,908.90,71.39,97.68,110.30,286.44,113.60,103.00,140.22,159.54,94.94,1.72,1.33,2.28,174.99
Dec-03,3.61,8.01,0.71,5.60,0.56,4.58,935.30,73.46,97.70,110.70,286.36,113.90,102.40,140.06,159.54,94.94,1.72,1.29,2.23,170.87
Jan-04,3.84,8.67,0.69,6.02,0.58,4.72,959.40,75.35,97.37,110.10,287.49,113.70,103.20,140.74,159.65,95.01,1.77,1.26,2.23,171.04
Feb-04,3.83,8.89,0.70,6.03,0.58,4.76,970.30,76.21,97.39,110.40,289.45,113.90,102.10,141.50,160.06,95.25,1.78,1.25,2.23,170.82
Mar-04,3.70,8.64,0.71,5.79,0.57,4.72,984.80,77.35,97.60,110.60,290.57,114.60,103.00,142.41,160.67,95.61,1.76,1.24,2.18,166.86
Apr-04,3.66,8.55,0.72,5.70,0.57,4.73,987.90,77.59,98.42,111.00,290.97,115.00,103.80,142.87,161.40,96.05,1.76,1.24,2.18,167.48
May-04,3.70,8.48,0.70,5.70,0.57,4.75,994.40,78.10,98.65,111.40,291.08,115.40,104.40,143.71,161.72,96.24,1.75,1.23,2.15,164.87
Jun-04,3.86,8.84,0.75,5.87,0.58,4.83,"1,002.00",78.70,98.82,111.30,293.38,115.40,105.00,147.70,162.48,96.69,1.83,1.23,2.25,172.56
Jul-04,3.84,8.80,0.78,5.87,0.58,4.78,"1,008.20",79.19,97.78,111.00,298.07,115.20,105.30,147.46,163.01,97.01,1.86,1.23,2.28,174.87
Aug-04,3.79,8.71,0.75,5.83,0.58,4.79,"1,017.90",79.95,98.14,111.30,302.84,115.40,105.30,147.54,164.37,97.82,1.82,1.22,2.22,170.37
Sep-04,3.84,8.70,0.74,5.93,0.59,4.86,"1,030.30",80.92,98.15,111.40,302.84,115.60,105.20,147.85,164.40,97.84,1.83,1.21,2.21,169.28
Oct-04,3.95,8.84,0.78,6.10,0.59,4.90,"1,051.50",82.59,99.07,111.70,304.36,116.00,104.30,148.59,165.23,98.33,1.89,1.19,2.25,172.56
Nov-04,4.08,8.90,0.78,6.22,0.58,4.80,"1,075.30",84.46,99.17,111.90,306.18,115.90,102.80,148.74,165.53,98.51,1.91,1.17,2.23,170.86
Dec-04,4.06,8.96,0.81,6.23,0.56,4.65,"1,099.00",86.32,99.00,112.50,305.57,116.40,102.40,148.15,165.37,98.41,1.93,1.14,2.20,168.65
Jan-05,4.07,9.00,0.80,6.29,0.58,4.79,"1,134.30",89.09,98.54,111.90,306.49,115.82,101.90,148.44,165.14,98.27,1.94,1.10,2.14,163.71
