month,Total Inflation annual,Food inflation annual,Non Food inflation annual,Total inflation monthly,Food inflation monthly,Non Food inflation monthly,Central,Copperbelt,Eastern,Luapula,Lusaka,Northern / Muchinga,North-Western,Southern,Western
Jan-11,6.3,4.2,8.6,0.7,1.1,0.2,0.5,1.8,0.9,0.4,1.5,0.2,0.2,0.9,0.3
Feb-11,6.5,4.3,9.1,0.7,0.5,0.9,0.7,1.5,0.9,0.5,1.1,0.2,0.2,0.8,0.3
Mar-11,6.6,4.1,9.4,1.1,1,1.1,0.9,1.7,1,0.6,0.9,0.1,0.2,0.8,0.2
Apr-11,6.3,3.7,9.2,0.6,0.6,0.6,0.8,1.8,1,0.5,1,0.2,0.3,0.8,0.2
May-11,6.3,3.5,9.5,0.3,-0.1,0.7,0.8,1.8,0.8,0.6,1.3,0.5,0.2,0.7,0.1
Jun-11,6.1,3.8,8.7,0,-0.6,0.6,0.8,1.9,0.7,0.5,1.3,0.4,0.2,0.9,0.2
Jul-11,6.9,5,8.9,1.2,1.5,0.9,0.6,2,0.8,0.3,1.8,0.4,0.1,1.1,0.2
Aug-11,6.5,5.8,7.3,0.6,0.1,1.1,0.7,1.7,0.7,0.2,1.9,0.4,0.1,1.1,0.3
Sep-11,0,6.1,7.3,0.4,0.3,0.4,0.7,1.7,0.5,0.2,1.9,0.4,0.2,1,0.3
Oct-11,6.7,6.3,7.2,-0.2,-0.2,-0.1,0.6,1.7,0.6,0.2,1.8,0.3,0.2,0.9,0.3
Nov-11,6.4,6,6.8,0.1,0.4,-0.2,0.6,1.6,0.5,0.2,1.9,0.4,0.2,0.9,0.2
Dec-11,6,5.3,6.6,0.5,0.6,0.3,0.7,1.5,0.5,0.3,2.2,0.4,0.3,0.9,0.2
Jan-12,6.4,6.1,6.8,1.1,1.8,0.3,0.8,1.4,0.6,0.3,2.3,0.4,0.3,0.9,0.3
Feb-12,6,5.5,6.5,0.3,-0.1,0.6,0.7,1.6,0.6,0.3,2.2,0.4,0.2,0.9,0.3
Mar-12,6.4,6.4,6.4,1.5,1.9,1,0.7,1.6,0.6,0.3,2.2,0.3,0.2,0.8,0.3
Apr-12,6.5,6.4,6.5,0.7,0.5,0.8,0.6,1.5,0.6,0.3,2.3,0.4,0.2,0.8,0.3
May-12,6.6,6.8,6.3,0.4,0.3,0.5,0.7,1.4,0.5,0.2,2.3,0.4,0.2,0.9,0.3
Jun-12,6.7,7.1,6.2,0,-0.4,0.5,0.7,1.3,0.6,0.2,2.3,0.5,0.3,0.8,0.3
Jul-12,6.2,6.3,6,0.7,0.8,0.7,0.7,1.2,0.6,0.3,2.2,0.6,0.4,0.8,0.4
