month,"Financial Market Prices, Equities, Domestic Company, End of Period, Index"
01/01/2011,3404.08
01/02/2011,3702.66
01/03/2011,3702.66
01/04/2011,3935.60
01/05/2011,4084.70
01/06/2011,3918.70
01/07/2011,4044.40
01/08/2011,3766.40
01/09/2011,3824.10
01/10/2011,3742.00
01/11/2011,3742.00
01/12/2011,4040.35
01/01/2012,3885.70
01/02/2012,3875.63
01/03/2012,3925.60
01/04/2012,3921.20
01/05/2012,3857.20
01/06/2012,3876.40
01/07/2012,3829.30
01/08/2012,3752.50
01/09/2012,3708.10
01/10/2012,3669.50
01/11/2012,3609.00
01/12/2012,3714.60
01/01/2013,3649.90
01/02/2013,3909.40
01/03/2013,4165.90
01/04/2013,4277.10
01/05/2013,4420.60
01/06/2013,4568.01
01/07/2013,4750.20
01/08/2013,4772.60
01/09/2013,4796.96
01/10/2013,5003.40
01/11/2013,5100.20
01/12/2013,5003.00
01/01/2014,5395.00
01/02/2014,5297.20
01/03/2014,5814.49
01/04/2014,5985.35
01/05/2014,5985.40
01/06/2014,6111.20
01/07/2014,6024.30
01/08/2014,6246.55
01/09/2014,6220.90
01/10/2014,6170.77
01/11/2014,6166.79
01/12/2014,6160.66
01/01/2015,6172.03
01/02/2015,6149.86
01/03/2015,6099.05
01/04/2015,5994.04
01/05/2015,5922.62
01/06/2015,5842.08
01/07/2015,5847.31
01/08/2015,5826.42
01/09/2015,5800.24
01/10/2015,5772.35
01/11/2015,5744.56
01/12/2015,5734.68
01/01/2016,5553.74
01/02/2016,5575.15
01/03/2016,5534.39
01/04/2016,5010.75
01/05/2016,4964.44
01/06/2016,4753.24
01/07/2016,4697.77
01/08/2016,4753.24
01/09/2016,4320.71
01/10/2016,4307.30
01/11/2016,4264.54
01/12/2016,4195.95
01/01/2017,4051.92
01/02/2017,4229.22
01/03/2017,4414.49
01/04/2017,4570.08
01/05/2017,4718.24
01/06/2017,4759.65
01/07/2017,4748.79
01/08/2017,4901.14
01/09/2017,4974.02
01/10/2017,5127.20
01/11/2017,5343.25
01/12/2017,5327.58
01/01/2018,5326.77
01/02/2018,5586.64
01/03/2018,5548.02
01/04/2018,5582.09
01/05/2018,5549.25
01/06/2018,5455.83
01/07/2018,5451.62
01/08/2018,5230.77
01/09/2018,5468.17
01/10/2018,5229.03
01/11/2018,5278.33
01/12/2018,5248.39
01/01/2019,5677.98
01/02/2019,5895.35
01/03/2019,5699.94
01/04/2019,5458.24
01/05/2019,5482.98
01/06/2019,4564.78
01/07/2019,4567.21
01/08/2019,4427.56
01/09/2019,4395.34
01/10/2019,4312.77
01/11/2019,4259.02
01/12/2019,4264.51
01/01/2020,4251.54
01/02/2020,4395.34
01/03/2020,4232.83
01/04/2020,4149.17
01/05/2020,4024.34
01/06/2020,3919.57
01/07/2020,3685.40
01/08/2020,3842.39
01/09/2020,3823.58
01/10/2020,3809.00
01/11/2020,3899.08
01/12/2020,3912.33
01/01/2021,3904.51
01/02/2021,3912.33
01/03/2021,4021.07
01/04/2021,4109.31
01/05/2021,4246.55
01/06/2021,4246.55
